N,P,K,temperature,humidity,ph,rainfall,label
28,44,17,30.406883,67.240755,7.042685,91.668101,mungbean
64,67,45,20.391647,50.0,7.179974,68.724032,chickpea
83,57,19,25.730444,70.747393,6.877869,98.737713,maize
22,30,35,31.203214,91.182679,6.577469,190.72239,coconut
52,48,38,31.693122,79.54564,6.656111,176.283593,papaya
17,65,24,24.650074,69.817825,6.846178,150.0,pigeonpeas
27,67,44,22.1478,50.0,7.838969,58.841549,chickpea
94,17,30,27.241002,88.46198,6.583893,54.145936,watermelon
32,40,40,15.975195,80.0,6.419635,122.520798,apple
89,17,34,29.870548,69.639164,7.038663,24.523042,muskmelon
46,52,25,34.326367,62.057694,6.848,147.456134,pigeonpeas
21,26,22,18.539393,75.078981,5.817163,90.452196,orange
97,69,45,27.420205,74.28213,6.840507,161.579033,banana
109,26,45,28.279737,90.389712,6.224535,21.589925,muskmelon
18,40,40,18.0,79.893076,6.50478,81.019093,grapes
22,30,18,31.72208,65.534912,5.5,111.009665,mango
111,40,25,22.440337,77.953475,5.410923,159.597941,coffee
29,42,26,29.533666,68.975982,6.410876,51.686054,mungbean
22,13,22,32.099866,92.808284,6.034635,166.46635,coconut
24,23,33,30.16936,88.256383,6.116934,198.468422,coconut
85,66,49,31.091443,90.377774,6.818525,201.197374,banana
110,59,32,28.853695,71.40838,7.078926,96.970181,cotton
13,61,24,18.297836,69.689762,7.62991,49.391115,lentil
106,28,33,23.740121,75.452836,7.0,222.758724,coffee
102,44,36,24.826295,72.61092,5.983713,217.646344,coffee
77,44,20,25.743913,75.02909,6.232009,96.156011,maize
26,68,24,31.261262,51.258271,5.979202,120.835231,pigeonpeas
32,20,25,32.204909,58.802141,6.397037,81.608489,mango
15,15,19,30.56087,80.0,6.058763,80.098309,orange
25,57,16,29.550111,81.225026,7.026209,62.630824,mungbean
91,20,40,29.64498,81.299366,6.526258,44.3894,muskmelon
18,58,32,23.765275,68.608697,6.653711,57.932025,lentil
111,62,52,26.992223,85.328902,5.961832,155.014779,banana
24,40,40,23.94235,70.741983,6.949536,154.322856,apple
18,28,25,26.176539,76.302243,6.758735,103.578426,orange
70,33,42,28.221139,83.277928,6.024336,178.145201,jute
92,16,40,27.021146,70.39174,6.086292,77.39061,watermelon
14,62,17,28.235738,45.0,6.23558,124.87354,pigeonpeas
97,42,41,25.491471,82.806563,5.976597,242.541955,rice
24,29,28,29.109743,81.612638,5.885618,256.178663,coconut
21,66,32,30.049984,45.0,5.823392,83.52601,pigeonpeas
23,74,30,18.031225,56.740562,5.807114,89.23126,kidneybeans
56,62,44,21.855711,50.0,6.657644,62.645382,chickpea
14,20,10,29.294545,65.110357,6.984997,148.789021,orange
34,28,19,28.652265,56.22022,5.596195,72.543688,mango
80,47,56,26.97477,77.802117,6.319431,200.0,papaya
112,48,33,22.929966,65.0,6.710775,242.011396,coffee
85,55,35,24.469925,76.938873,5.679235,109.878782,maize
94,53,34,19.40014,60.251716,6.703288,98.112501,maize
21,40,40,33.597761,62.525119,6.179487,85.004055,grapes
12,63,19,22.440771,62.702757,7.664699,62.291556,lentil
61,63,49,33.45161,83.402432,6.483201,125.76429,papaya
24,40,40,22.740386,79.324847,5.996577,149.758504,apple
57,61,54,30.833121,85.830222,6.144529,152.206695,papaya
132,46,41,27.498013,63.406761,6.032439,90.665905,cotton
107,18,24,26.781199,67.071596,6.461867,52.687336,watermelon
26,24,26,30.684327,51.769145,6.950432,76.418795,mango
77,61,45,26.287176,87.535722,5.540407,246.5421,rice
19,22,23,20.296352,68.888078,6.267753,91.682823,pomegranate
118,55,37,30.246322,63.024469,6.670031,117.305969,cotton
114,64,53,26.281492,82.251613,6.168169,213.992109,banana
48,61,21,30.284966,61.692951,6.628265,65.628595,blackgram
29,74,18,25.319552,55.0,6.365098,79.390146,kidneybeans
30,46,25,28.945923,76.553167,6.582664,40.0,mungbean
17,11,20,18.055463,80.0,7.450918,102.123798,orange
87,57,35,30.211885,83.085765,5.976332,180.652937,jute
133,44,34,30.802104,63.175194,6.730304,72.632299,cotton
21,77,22,25.74524,55.0,6.251637,91.606132,kidneybeans
27,57,25,25.317442,64.594782,6.388134,94.218465,pigeonpeas
97,54,38,26.618835,86.921922,6.144297,218.828373,rice
31,16,38,31.18873,84.767957,5.857617,176.137269,coconut
22,40,40,22.885795,71.141104,6.368274,69.251639,grapes
109,15,36,28.626182,68.056654,6.941765,74.930666,watermelon
93,52,24,22.612181,64.152339,6.900333,54.889143,maize
11,30,21,24.002302,62.716975,6.229996,97.709338,pomegranate
103,43,43,27.160394,89.566519,6.043705,227.682706,rice
23,38,21,31.354669,52.261461,6.07916,63.835591,mothbeans
22,40,40,17.028179,78.717449,5.839517,145.034676,apple
26,40,40,18.0,77.616591,6.787091,54.782679,grapes
30,47,26,26.013922,61.916062,6.40654,111.054691,blackgram
94,30,26,27.242481,69.00895,6.012518,159.040161,coffee
99,27,42,20.88837,68.61065,6.405562,129.323893,coffee
21,51,24,30.44884,51.185858,7.338935,60.752275,mothbeans
19,28,24,32.974443,60.844548,6.187889,91.647784,mango
107,26,30,28.925599,82.290635,6.877262,21.822133,muskmelon
16,57,20,27.367346,59.393723,7.109603,109.263227,pigeonpeas
119,20,40,32.463395,72.70322,6.677773,55.079722,muskmelon
104,24,31,29.179908,79.737522,6.423733,56.369789,watermelon
36,31,23,27.608557,48.733522,7.113972,114.482417,mango
81,71,48,26.165569,80.068801,6.425689,137.620866,banana
91,59,54,27.674051,78.06592,5.89235,209.628766,banana
89,28,38,29.693463,71.485253,5.920735,54.560068,watermelon
27,8,32,27.006484,96.461689,5.627861,144.333132,coconut
93,57,36,19.141732,64.602732,5.965449,65.45011,maize
129,57,36,27.670886,64.329009,6.215665,97.933157,cotton
17,40,40,13.01272,66.824824,6.461691,98.198081,apple
27,24,26,18.744218,73.983632,6.751445,96.432454,orange
29,68,26,23.697484,69.32533,6.59888,53.899942,lentil
108,35,38,28.761518,73.487185,5.916085,113.655557,cotton
28,18,30,30.994798,47.263432,7.092774,75.179773,mango
28,60,45,24.371362,50.94141,8.058286,80.687324,chickpea
31,56,29,26.772543,62.930512,7.501346,44.657177,lentil
23,24,19,30.543971,56.859358,5.718101,105.721747,mango
104,17,39,27.938178,76.51796,6.550219,45.232299,muskmelon
66,47,45,23.854342,76.842786,5.942357,140.997507,papaya
100,18,30,30.577773,85.0,6.267247,36.959379,muskmelon
94,43,27,26.827298,64.71824,6.250286,76.719637,maize
32,40,40,28.982198,66.846823,6.541372,83.751942,grapes
100,58,24,25.686139,69.784423,7.152678,68.470689,maize
40,55,19,33.057952,59.33902,6.755337,54.941783,blackgram
34,51,28,27.347821,59.983584,7.037214,66.987685,lentil
22,64,25,31.553298,80.62718,6.781856,62.608584,mungbean
92,14,24,29.226755,74.045676,6.338794,24.301948,muskmelon
37,30,16,23.042177,72.563251,6.304781,82.105706,orange
97,38,41,22.332766,80.154224,6.214413,256.267933,rice
97,38,40,22.602077,77.908951,6.153592,208.818048,rice
62,51,45,20.933217,50.0,7.374759,58.477775,chickpea
33,30,11,30.30928,78.131508,6.873814,133.827919,orange
18,64,22,20.51172,60.063761,7.094543,56.191313,lentil
37,21,26,20.493207,68.385587,6.683725,81.976165,pomegranate
25,65,22,28.259256,45.176459,7.703426,71.188218,mothbeans
16,51,20,25.895283,59.338734,6.662446,89.389198,blackgram
23,64,22,30.492338,85.0,6.996951,90.508037,mungbean
23,21,30,29.18145,62.65064,5.97167,116.626115,mango
11,40,40,23.178294,64.684149,6.175255,78.677074,grapes
14,57,28,18.817911,55.0,6.370982,112.671369,kidneybeans
105,20,46,23.791067,71.607856,5.777339,235.46967,coffee
44,58,30,22.310621,54.63631,6.029893,116.396223,pigeonpeas
98,15,40,30.237794,79.876591,6.831294,23.979166,muskmelon
33,73,45,23.424889,50.0,6.936204,83.118939,chickpea
124,43,26,24.492085,74.849116,6.414545,135.953256,coffee
19,50,26,25.815624,78.290751,6.471611,102.141153,blackgram
117,40,36,27.503166,80.0,6.008725,83.666818,cotton
24,24,29,19.020804,70.0,6.308775,68.648328,pomegranate
26,40,21,28.099796,58.169191,7.995798,38.995778,mothbeans
18,40,40,20.990467,67.634348,5.701345,162.665828,apple
24,29,11,18.0,73.285565,7.068976,152.08735,orange
19,36,25,29.099651,49.917308,6.857356,79.103616,mango
98,25,38,28.570168,82.613969,6.140145,46.919419,watermelon
18,66,26,31.715035,57.199488,6.728317,107.975045,pigeonpeas
86,17,40,28.237967,74.912604,7.146628,31.445264,muskmelon
102,64,47,27.152601,74.610369,6.739078,100.0,banana
105,60,54,30.195479,86.724079,6.475469,133.642529,banana
30,40,40,19.7541,66.621736,6.821569,133.778349,apple
31,13,32,27.965541,80.093203,5.571777,246.948391,coconut
25,78,19,25.864415,55.0,6.849783,143.981187,kidneybeans
65,50,45,35.0,77.862752,6.313283,200.0,papaya
76,66,54,25.454453,75.693568,6.46392,224.646231,banana
31,40,40,16.56639,80.0,6.179899,125.982298,apple
84,17,39,25.531765,76.152641,6.182187,49.703855,muskmelon
53,46,54,29.590166,74.925318,6.97563,90.936111,papaya
54,61,55,29.242808,74.286117,6.213339,133.538058,papaya
103,66,49,26.383726,74.110457,6.632878,201.617806,banana
83,29,31,27.004984,71.29469,6.690959,30.053266,muskmelon
14,70,27,25.258724,67.637716,6.137569,128.492405,pigeonpeas
96,28,37,27.983029,80.262122,6.097869,75.266869,watermelon
114,30,44,26.066355,79.425279,5.737354,204.215821,coffee
30,21,33,33.552231,49.153006,6.348195,104.556315,mango
28,68,45,22.914022,50.0,7.647531,91.751625,chickpea
81,54,46,28.781656,78.659326,6.659669,155.413934,banana
88,59,38,24.442681,80.498182,6.545784,236.872049,rice
136,36,30,29.471437,63.504223,6.805524,63.578404,cotton
27,24,20,28.189168,70.0,5.788327,95.178285,pomegranate
83,48,26,24.323717,71.584628,6.458774,83.51248,maize
113,70,51,25.501898,89.951002,5.698552,103.519914,banana
23,49,26,28.370863,72.583769,6.511764,65.535913,blackgram
33,65,17,29.584766,62.201767,6.0,62.226141,mothbeans
75,78,42,25.995482,87.157674,5.895844,106.853743,banana
25,79,23,24.288105,55.0,6.650908,86.620896,kidneybeans
25,40,40,16.010567,73.152979,6.631688,95.964896,apple
32,54,28,28.36966,57.896227,6.58751,123.013116,pigeonpeas
97,70,47,26.87665,75.189521,6.156154,114.279429,banana
119,44,45,30.259296,66.576777,7.719188,105.99787,cotton
32,22,32,31.558935,60.284782,6.11451,80.082267,mango
54,50,50,27.035461,89.844856,6.876962,161.358258,papaya
39,76,76,19.968375,15.573244,8.135901,69.157591,chickpea
127,34,30,25.41126,71.181214,6.427212,104.896999,cotton
26,58,17,25.859325,60.462267,7.037103,71.950285,mothbeans
97,40,42,22.875721,76.934174,6.29354,185.864813,coffee
33,75,22,19.460555,55.0,5.86527,102.189278,kidneybeans
24,75,23,21.064835,55.0,6.112807,86.654107,kidneybeans
116,40,34,29.294338,73.037651,6.799736,86.49974,cotton
62,58,45,22.063409,50.0,7.224664,66.021005,chickpea
126,54,33,27.28572,79.429644,6.472796,76.773144,cotton
27,40,40,22.406066,70.41837,6.646866,103.861624,apple
33,40,40,29.413974,75.07045,6.067171,50.378653,grapes
98,14,26,25.706878,85.381539,6.720714,63.621775,watermelon
109,45,30,24.516988,68.98914,6.817061,124.596961,cotton
22,65,18,18.177151,55.0,6.355977,79.712926,kidneybeans
99,58,44,26.276806,83.673568,6.153461,270.883853,rice
25,59,24,22.983448,55.51699,5.81442,91.178701,kidneybeans
26,27,37,25.892614,70.0,5.726508,97.572942,pomegranate
