N,P,K,temperature,humidity,ph,rainfall,label
20.988591557969304,15.98794726646431,133.20619268230152,52.094082666970834,68.22,6.021427916171047,115.11,Carrots
27.35200818499632,15.305905636494447,137.85653631109898,51.34976017388677,58.17,6.342419802601801,115.81,Carrots
24.64099601453641,14.77895886509523,132.99425713668234,61.16207181093291,70.76,6.684784027455903,82.88,Carrots
18.88450102014033,12.328407574300526,109.76604819905224,72.28084319227226,65.92,6.552202818792486,60.07,Carrots
17.135443935838058,11.215420007069447,102.42953599455818,58.71055700322901,47.83,6.705261892703743,99.15,Carrots
25.23174495280404,10.266781329533636,136.52450233082902,53.94341866829432,74.27,6.583209417962238,92.93,Carrots
24.928377250720835,10.77176229169458,109.254217390834,71.32871588631168,67.83,6.481066066390006,110.03,Carrots
27.040938483660632,18.49916457705569,144.63145290496945,68.00689592043642,68.58,6.453439258583248,108.17,Carrots
22.707261345994684,11.223596487204146,107.44317183562708,60.08182461105848,48.84,6.460593822833254,62.27,Carrots
27.136553927476992,18.76671718328676,139.33792133260283,73.06502886525229,58.51,6.453489933161648,86.72,Carrots
25.27986428934938,11.991361318931183,115.31484166357347,50.79989166034551,56.12,6.744821807533956,75.11,Carrots
24.717826883894173,14.202805196953973,115.23188803606912,59.36146270044645,72.8,6.624617529763971,114.34,Carrots
21.810705025968275,19.02825693242797,114.84969537202257,73.27765943964536,64.32,6.070903088367601,72.71,Carrots
17.482411532383626,13.706195668885927,141.8995352007965,72.34425287780238,69.68,6.248679136072248,45.07,Carrots
20.48509259126488,12.112882690122142,144.97011559914054,52.30753683878535,58.3,6.622953697325943,79.18,Carrots
21.70190446479,11.830992090410696,140.88694392259814,61.86207793381198,51.82,6.317666244659941,58.43,Carrots
23.004326891939023,13.323227709065844,143.21277363819024,51.4845093452705,61.64,6.027702161586399,40.86,Carrots
22.897161743255307,19.648829537822493,107.13366139998834,73.39589085386834,46.91,6.6541710760886925,112.97,Carrots
25.987470527951,10.832188588617877,131.1904486926279,70.82196548261199,69.83,6.043885416446943,93.82,Carrots
16.25832016601648,19.59624202456783,102.25073073887329,62.06417731183692,63.95,6.7540649487338325,49.37,Carrots
23.66017268229782,13.531187946341468,146.14706732151464,70.91904671690315,67.74,6.241650956458306,70.36,Carrots
14.53385663216302,18.0121404091351,126.2317639565204,64.41678787790373,55.64,6.426930991377846,62.29,Carrots
16.74735814186775,15.016200488386442,131.1087069415827,64.80444769266896,74.12,6.049447632557423,105.3,Carrots
24.28356560726638,18.893509119380344,136.01808280104174,73.79126990526555,71.79,6.524148492905693,95.74,Carrots
16.983048859327813,18.4057648396824,149.04031777199373,51.49664292781408,68.35,6.319758855349026,48.79,Carrots
17.65570708882854,16.79334308730598,148.75854196319384,69.33114356656354,50.84,6.421655402901847,40.53,Carrots
21.118353979570323,14.34442358239678,134.5190367480297,54.75080789865439,59.0,6.090058114639215,105.59,Carrots
26.86938203176509,18.658617153073408,110.76091275056896,53.66031696299402,46.31,6.6240095840762825,114.66,Carrots
19.85185692577205,16.313934529742113,125.96715281498405,54.24133597426633,49.63,6.075464040781887,116.95,Carrots
24.67328144846524,12.959823297056728,146.936935356427,71.67619068775609,65.49,6.166861773298716,49.52,Carrots
26.87869734597937,15.08319791449198,104.4303074454484,54.27918116662697,67.34,6.043358232773997,71.29,Carrots
15.381358216710462,12.693219223732532,131.74228615736885,55.65501344011525,74.03,6.539356986443463,49.79,Carrots
24.58895032695721,13.696485963603791,111.92131274702253,55.084043439257385,54.77,6.309992149785289,114.75,Carrots
22.87632648114949,11.647307204069415,111.38851914518698,65.95846644108767,56.11,6.090672311614453,76.18,Carrots
27.42304115866669,18.482776988516346,112.79698128766866,60.20739051325802,59.09,6.174468247631957,112.79,Carrots
23.82408689543465,11.811211781082816,139.5425442447048,55.17033668993511,50.68,6.172944053367434,76.33,Carrots
